date,UID,click,url,regionCode,city,k_page,vec
2016-10-09 03:23:34 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p03,1:0:0:1:0
2016-10-09 03:27:53 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p10,0:1:0:0:1
2016-10-09 03:28:25 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p19,1:1:1:0:1
2016-10-09 03:31:28 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p14,0:1:0:1:0
2016-10-09 03:31:44 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p14,0:1:0:1:1
2016-10-09 03:32:41 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p03,1:0:0:0:1
2016-10-09 03:33:20 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p01,1:1:0:1:1
2016-10-10 01:49:02 UTC,e4fe19cf-d1f5-470c-aeae-4031c7ad0d43,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p01,1:0:0:0:1
2016-10-10 01:50:41 UTC,e4fe19cf-d1f5-470c-aeae-4031c7ad0d43,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p02,1:0:1:0:1
2016-10-11 21:38:27 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:1:1:0:1
2016-10-11 21:38:36 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,1:0:0:0:1
2016-10-11 21:39:06 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p03,0:1:1:0:0
2016-10-11 23:00:39 UTC,e4fe19cf-d1f5-470c-aeae-4031c7ad0d43,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p02,1:0:0:0:1
2016-10-12 12:16:27 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p02,0:0:0:0:1
2016-10-12 12:16:43 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p19,0:1:1:0:1
2016-10-12 12:17:58 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p14,1:1:0:1:1
2016-10-12 12:17:59 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p14,1:1:1:0:1
2016-10-12 12:28:01 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p02,0:0:0:0:1
2016-10-12 12:28:08 UTC,5066f954-0bd3-4597-bb4f-5a07b029a7e7,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,yokohama,p18,0:1:1:0:0
2016-10-12 14:26:44 UTC,fdfa310b-dede-4b26-aa18-2792fc936812,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,0:0:0:0:0
2016-10-12 14:26:50 UTC,fdfa310b-dede-4b26-aa18-2792fc936812,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,1:1:1:1:0
2016-10-13 00:07:19 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p01,0:1:0:0:0
2016-10-13 00:08:30 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,0:1:0:0:0
2016-10-13 00:09:05 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p22,1:0:0:1:1
2016-10-13 00:09:59 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,0:1:1:0:0
2016-10-13 00:10:07 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p02,0:0:0:1:1
2016-10-13 00:11:51 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,0:0:0:0:1
2016-10-13 00:11:57 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,1:1:1:1:1
2016-10-13 00:12:07 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,0:1:1:0:0
2016-10-13 00:12:41 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p14,1:1:1:1:1
2016-10-13 00:13:06 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,3,morioka,p01,0:1:0:0:1
2016-10-13 11:29:18 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,0:0:0:1:1
2016-10-13 11:29:30 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,1:1:0:1:0
2016-10-13 11:32:51 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:0:0:0:1
2016-10-13 11:35:20 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:1:0:0:0
2016-10-13 11:35:45 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:1:0:1:0
2016-10-13 11:36:23 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,1:0:0:0:1
2016-10-13 11:36:54 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:0:1:1:0
2016-10-13 11:37:09 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:0:0:1:0
2016-10-13 11:53:42 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,0:0:0:1:1
2016-10-14 08:27:27 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p01,1:0:0:1:1
2016-10-14 08:27:41 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p10,0:0:0:1:1
2016-10-14 13:12:44 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p01,1:0:0:1:1
2016-10-14 13:12:54 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p10,1:1:0:1:0
2016-10-15 21:04:30 UTC,354b42b7-3b6d-4441-8684-9d9ff91c955d,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,saitama,p01,1:1:1:0:1
2016-10-15 21:04:34 UTC,354b42b7-3b6d-4441-8684-9d9ff91c955d,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,saitama,p09,1:1:0:1:0
2016-10-15 21:06:24 UTC,354b42b7-3b6d-4441-8684-9d9ff91c955d,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,saitama,p09,0:0:0:1:1
2016-10-16 20:19:31 UTC,e842f443-8b9c-4835-8fba-99faf1731477,,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p14,1:0:1:0:0
2016-10-16 20:19:40 UTC,e842f443-8b9c-4835-8fba-99faf1731477,,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p14,0:1:0:1:1
2016-10-16 20:19:46 UTC,e842f443-8b9c-4835-8fba-99faf1731477,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p19,1:1:1:0:0
2016-10-16 20:20:15 UTC,e842f443-8b9c-4835-8fba-99faf1731477,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p14,1:1:0:1:0
2016-10-16 20:20:19 UTC,e842f443-8b9c-4835-8fba-99faf1731477,,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p14,1:0:0:1:0
2016-10-16 20:22:15 UTC,e842f443-8b9c-4835-8fba-99faf1731477,,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p19,1:0:1:0:0
2016-10-16 20:22:20 UTC,e842f443-8b9c-4835-8fba-99faf1731477,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,14,kawasaki,p14,0:1:1:0:0
2016-10-17 00:17:46 UTC,726e25b9-e5e0-4de5-bdf2-9fcc9b63f395,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,fujimino,p05,0:1:1:1:1
2016-10-17 00:18:06 UTC,726e25b9-e5e0-4de5-bdf2-9fcc9b63f395,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,fujimino,p15,0:0:1:1:0
2016-10-17 00:41:58 UTC,726e25b9-e5e0-4de5-bdf2-9fcc9b63f395,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,fujimino,p05,0:1:1:1:1
2016-10-17 00:43:14 UTC,726e25b9-e5e0-4de5-bdf2-9fcc9b63f395,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,fujimino,p15,1:0:0:1:1
2016-10-20 08:20:30 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p01,1:0:1:1:1
2016-10-20 08:20:39 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p10,0:0:1:0:1
2016-10-21 02:54:37 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:0:1:0:1
2016-10-21 02:54:45 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p10,0:0:0:0:1
2016-10-21 02:56:14 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:1:0:1:0
2016-10-21 03:33:35 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:0:0:0:0
2016-10-21 03:33:41 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p10,1:0:0:1:0
2016-10-21 03:34:53 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p10,0:1:0:1:0
2016-10-21 03:35:00 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,0:1:0:1:0
2016-10-21 03:35:26 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,0:0:1:0:0
2016-10-21 03:35:56 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p10,0:0:1:1:1
2016-10-21 03:36:21 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,1:1:0:0:0
2016-10-21 08:09:51 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p01,0:1:1:1:1
2016-10-21 08:09:58 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p02,1:1:0:0:0
2016-10-21 08:10:22 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p10,0:1:0:0:0
2016-10-21 08:11:17 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,27,osaka,p10,1:0:0:0:1
2016-10-22 18:51:26 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,minato,p02,0:1:1:0:1
2016-10-22 18:51:43 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,minato,p14,0:0:0:0:0
2016-10-22 18:51:44 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,minato,p14,0:1:0:1:1
2016-10-22 18:53:32 UTC,4dd5a8de-36d2-4ee3-9261-bbf357f7f153,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,minato,p02,1:1:0:1:0
2016-10-22 20:32:28 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,1:1:1:0:0
2016-10-22 20:32:56 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,1:0:0:1:0
2016-10-22 20:34:06 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,0:0:1:1:1
2016-10-22 20:34:12 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,0:0:0:1:0
2016-10-22 20:39:20 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,0:0:1:0:1
2016-10-22 20:39:39 UTC,d22eb9ea-5a1f-4f02-8f99-cd8979974cd8,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,kashiwa,p14,1:0:0:0:0
2016-10-24 10:45:32 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p02,0:1:1:1:0
2016-10-24 10:46:17 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p18,0:0:1:0:1
2016-10-24 10:46:42 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p18,1:0:0:0:1
2016-10-24 10:46:43 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p18,0:0:0:0:0
2016-10-24 10:46:44 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p18,0:1:1:0:1
2016-10-24 10:46:55 UTC,050c572c-89b3-48f8-be99-221cf346161e,,https://passnavi.evidus.com/search_univ/2910/ippan.html,6,sakata,p02,0:1:0:1:0
2016-10-26 12:58:40 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,0:0:0:1:1
2016-10-26 12:58:49 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,0:0:1:0:0
2016-10-26 13:21:26 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,0:0:1:0:1
2016-10-26 13:24:56 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,0:0:1:0:0
2016-10-26 13:25:07 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,0:1:1:0:1
2016-10-26 13:26:12 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p02,0:0:0:1:0
2016-10-26 13:28:17 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p02,0:0:0:1:1
2016-10-26 13:28:32 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,1:0:0:0:1
2016-10-26 13:37:08 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p01,0:1:0:0:0
2016-10-26 13:37:17 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p09,1:1:0:0:1
2016-10-26 13:37:29 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p18,1:1:1:1:0
2016-10-26 13:38:38 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,1:1:0:0:0
2016-10-26 13:38:47 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,13,shinjuku,p14,1:0:0:0:0
2016-10-26 17:21:42 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p01,1:0:1:1:1
2016-10-26 17:21:53 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p02,0:1:0:1:0
2016-10-26 17:22:06 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p18,1:1:1:0:0
2016-10-26 17:22:47 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p02,1:1:1:1:1
2016-10-27 21:47:56 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:1:1:1:0
2016-10-27 21:48:56 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,1:0:1:1:1
2016-10-27 21:49:27 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p02,0:0:0:1:0
2016-10-27 22:00:56 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,23,nagoya,p01,1:1:1:1:0
2016-10-28 01:35:43 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p01,0:0:0:1:1
2016-10-28 01:35:50 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p18,0:1:0:1:1
2016-10-28 01:36:50 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p02,1:1:1:1:0
2016-10-28 01:37:12 UTC,031edab4-db96-498f-8c10-c9130d1d85fc,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,11,kawagoe,p01,0:0:0:0:0
2016-10-29 19:36:00 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p02,0:1:0:1:1
2016-10-29 19:36:56 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p02,0:0:0:0:1
2016-10-29 19:37:53 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p02,1:0:0:0:0
2016-10-29 19:37:59 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p01,0:1:1:0:1
2016-10-29 19:43:32 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p02,0:1:1:1:0
2016-10-29 19:43:46 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p13,0:1:0:0:0
2016-10-29 19:43:53 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p14,0:0:0:0:0
2016-10-29 19:44:05 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p18,0:0:0:0:1
2016-10-29 19:45:06 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p19,1:1:0:0:1
2016-10-29 19:56:05 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p19,0:0:1:1:1
2016-10-29 19:56:14 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p20,0:0:1:0:1
2016-10-29 19:56:24 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p22,1:1:0:1:0
2016-10-29 19:56:35 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p06,0:0:1:0:0
2016-10-29 21:00:26 UTC,837ad291-1b81-4929-8e47-03e3653b765a,1,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p02,1:1:1:1:1
2016-10-29 21:00:35 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p19,1:0:1:1:1
2016-10-29 21:02:11 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ippan.html,12,chiba,p19,1:0:1:0:0
